id_cliente,cliente,correo,telefono,id_pedido,fecha_pedido,monto,estado,id_envio,direccion,fecha_envio,estado_envio
CL1138,Pedro Vásquez,cliente13813@correo.sv,72784362,PED7000,2024-11-28,1984.03,Enviado,ENV8184,"Col. Escalón, Usulután",2024-08-09,En Ruta
CL1068,Elena Hernández,cliente6866@correo.sv,79903500,PED7004,2024-12-20,1182.84,Enviado,ENV8042,"Col. Escalón, La Libertad",2025-01-17,Entregado
CL1030,Lucía Reyes,cliente309@correo.sv,76575720,PED7005,2024-04-02,2154.6,Preparacion,ENV8065,"Calle El Mirador, San Miguel",2025-02-28,Devuelto
CL1030,Lucía Reyes,cliente309@correo.sv,76575720,PED7005,2024-04-02,2154.6,Preparacion,ENV8150,"Av. Roosevelt, La Libertad",2024-04-30,Devuelto
CL1002,Valeria Martínez,cliente25@outlook.com,76605966,PED7008,2024-08-04,404.61,Preparacion,ENV8005,"Pje. Las Flores, Sonsonate",2024-03-03,Devuelto
CL1002,Valeria Martínez,cliente25@outlook.com,76605966,PED7008,2024-08-04,404.61,Preparacion,ENV8134,"Calle Principal, Santa Ana",2024-10-05,Preparando
CL1059,Carmen Guerrero,cliente5961@correo.sv,71383408,PED7010,2024-06-16,1802.57,Cancelado,ENV8154,"Pje. Las Flores, San Salvador",2024-07-16,Entregado
CL1139,Paola Santos,cliente13982@gmail.com,78348820,PED7014,2025-01-05,1804.53,Preparacion,ENV8070,"Calle Principal, San Salvador",2024-11-17,Entregado
CL1139,Paola Santos,cliente13982@gmail.com,78348820,PED7014,2025-01-05,1804.53,Preparacion,ENV8161,"Calle El Mirador, La Libertad",2025-05-21,Devuelto
CL1139,Paola Santos,cliente13982@gmail.com,78348820,PED7014,2025-01-05,1804.53,Preparacion,ENV8070,"Calle Principal, San Salvador",2024-11-17,Entregado
CL1139,Paola Santos,cliente13982@gmail.com,78348820,PED7014,2025-01-05,1804.53,Preparacion,ENV8161,"Calle El Mirador, La Libertad",2025-05-21,Devuelto
CL1046,Lucía Romero,cliente4690@empresa.com,78965446,PED7022,2024-11-23,1273.98,Cancelado,ENV8131,"Pje. Las Flores, San Salvador",2024-09-10,Entregado
CL1046,Lucía Romero,cliente4690@empresa.com,78965446,PED7022,2024-11-23,1273.98,Cancelado,ENV8182,"Pje. Las Flores, San Miguel",2025-01-06,Devuelto
CL1097,Elena Rivera,cliente9728@gmail.com,74843131,PED7024,2025-02-01,1430.08,Entregado,ENV8057,"Pje. Las Flores, La Libertad",2024-04-18,Entregado
CL1097,Elena Rivera,cliente9728@gmail.com,74843131,PED7024,2025-02-01,1430.08,Entregado,ENV8127,"Calle Principal, Sonsonate",2024-07-15,Devuelto
CL1090,Daniela Ramírez,cliente9079@correo.sv,79075552,PED7026,2025-02-04,2320.08,Cancelado,ENV8199,"Calle Principal, Sonsonate",2024-01-07,Devuelto
CL1074,Andrés Gómez,cliente7495@gmail.com,71944270,PED7027,2025-01-01,1501.24,Entregado,ENV8105,"Boulevard Constitución, La Libertad",2024-10-23,Devuelto
CL1058,Carmen Romero,cliente5862@empresa.com,74983480,PED7028,2024-02-26,2437.36,Preparacion,ENV8143,"Boulevard Constitución, Sonsonate",2024-05-19,Entregado
CL1016,Marta Santos,cliente1652@correo.sv,75486191,PED7030,2024-09-11,1688.96,Enviado,ENV8064,"Col. Escalón, Sonsonate",2024-09-23,En Ruta
CL1033,Pedro Rivera,cliente3358@gmail.com,73409894,PED7036,2024-07-24,58.24,Cancelado,ENV8063,"Boulevard Constitución, San Salvador",2024-06-28,En Ruta
CL1033,Pedro Rivera,cliente3358@gmail.com,73409894,PED7036,2024-07-24,58.24,Cancelado,ENV8096,"Calle Principal, San Miguel",2024-11-15,Entregado
CL1129,Ricardo Hernández,cliente12935@outlook.com,77561387,PED7046,2025-03-26,240.8,Entregado,ENV8079,"Boulevard Constitución, Sonsonate",2024-11-15,En Ruta
CL1129,Ricardo Hernández,cliente12935@outlook.com,77561387,PED7046,2025-03-26,240.8,Entregado,ENV8188,"Boulevard Constitución, Sonsonate",2024-04-25,Entregado
CL1099,Jorge Morales,cliente9956@outlook.com,79683806,PED7051,2024-05-06,2134.41,Entregado,ENV8113,"Calle Principal, San Miguel",2024-09-24,Devuelto
CL1099,Jorge Morales,cliente9956@outlook.com,79683806,PED7051,2024-05-06,2134.41,Entregado,ENV8187,"Calle Principal, San Salvador",2025-03-25,Entregado
