id_cliente,cliente,correo,telefono
CL1000,Paola Mendoza,cliente061@empresa.com,73372703
CL1001,Elena Ramírez,cliente186@outlook.com,75447071
CL1002,Valeria Martínez,cliente25@outlook.com,76605966
CL1003,Daniela Rivera,cliente317@correo.sv,73134898
CL1004,Elena Morales,cliente426@correo.sv,78399637
CL1007,Marta Hernández,cliente735@empresa.com,72952127
CL1008,Diego Torres,cliente870@empresa.com,79305719
CL1009,Daniela Morales,cliente987@gmail.com,79050212
CL1011,Daniela Santos,cliente117@gmail.com,77253653
CL1013,Carlos Flores,cliente1367@gmail.com,74871926
CL1015,Valeria Guerrero,cliente1566@correo.sv,75269728
CL1016,Marta Santos,cliente1652@correo.sv,75486191
CL1017,Paola Torres,cliente179@outlook.com,79842446
CL1018,Diego López,cliente1824@empresa.com,72547994
CL1019,Lucía López,cliente1930@empresa.com,72736390
CL1020,José Flores,cliente2090@correo.sv,71154218
CL1021,Elena Torres,cliente2195@correo.sv,76817567
CL1022,María Ramírez,cliente2215@correo.sv,77277810
CL1023,Daniela Gómez,cliente2310@empresa.com,78553267
CL1024,Lucía Gómez,cliente2466@correo.sv,78506697
CL1025,Carlos Mendoza,cliente2514@outlook.com,77499480
CL1026,Luis Castro,cliente2633@gmail.com,73526332
CL1028,Lucía Romero,cliente2848@outlook.com,75031104
CL1029,Carlos Mejía,cliente2925@gmail.com,74010475
CL1030,Lucía Reyes,cliente309@correo.sv,76575720
CL1031,Paola Gómez,cliente3183@correo.sv,74472666
CL1032,Paola Gómez,cliente3294@correo.sv,78602035
CL1033,Pedro Rivera,cliente3358@gmail.com,73409894
CL1035,Ricardo López,cliente3513@empresa.com,78185845
CL1036,Carlos Gómez,cliente3665@correo.sv,77239477
CL1037,Daniela Gómez,cliente3749@empresa.com,77335047
CL1038,Fernando Rivas,cliente3848@empresa.com,73700897
CL1039,Elena Torres,cliente399@empresa.com,75334806
CL1040,Sofía Rivas,cliente4078@outlook.com,77144414
CL1041,Ana Romero,cliente4116@gmail.com,77635379
CL1042,Carmen Vásquez,cliente4257@correo.sv,79968734
CL1044,Sofía Hernández,cliente445@outlook.com,71094953
CL1045,José Santos,cliente4537@empresa.com,74874835
CL1046,Lucía Romero,cliente4690@empresa.com,78965446
CL1047,José Rivas,cliente4720@empresa.com,74782536
CL1048,Marta Hernández,cliente4878@correo.sv,74851546
CL1049,Ana Gómez,cliente4947@outlook.com,73596541
CL1052,Luis Santos,cliente5220@outlook.com,76374111
CL1053,Carmen Rivera,cliente5343@outlook.com,71062764
CL1054,Marta Mejía,cliente5490@correo.sv,78822425
CL1055,Paola Morales,cliente5572@outlook.com,76650121
CL1056,Ana Ramírez,cliente5640@outlook.com,78619124
CL1057,Marta Rivera,cliente5726@correo.sv,71908598
CL1058,Carmen Romero,cliente5862@empresa.com,74983480
CL1059,Carmen Guerrero,cliente5961@correo.sv,71383408
CL1060,Luis Romero,cliente6060@empresa.com,75354039
CL1061,Carlos Ramírez,cliente6156@empresa.com,73236003
CL1063,Paola Vásquez,cliente6360@gmail.com,74059172
CL1064,Carlos Cruz,cliente6479@empresa.com,79246516
CL1065,Jorge Flores,cliente6549@outlook.com,74058523
CL1066,Diego Pérez,cliente6630@gmail.com,73670802
CL1067,Valeria Santos,cliente6721@correo.sv,75059296
CL1068,Elena Hernández,cliente6866@correo.sv,79903500
CL1069,Carmen Hernández,cliente6987@empresa.com,73102129
CL1070,Fernando Martínez,cliente7078@outlook.com,73903770
CL1071,Paola Rivera,cliente7138@outlook.com,75639049
CL1072,Ana Flores,cliente7267@outlook.com,77732877
CL1073,Luis Ramírez,cliente7390@correo.sv,78959321
CL1074,Andrés Gómez,cliente7495@gmail.com,71944270
CL1075,Luis Romero,cliente7575@correo.sv,77403446
CL1076,Camila Mejía,cliente7671@gmail.com,78036041
CL1078,José Rivas,cliente7889@outlook.com,76453467
CL1080,Carlos Martínez,cliente8090@outlook.com,72259308
CL1081,Carmen Ramírez,cliente8118@empresa.com,74895460
CL1082,Sofía Pérez,cliente8254@outlook.com,78351095
CL1083,Marta Mendoza,cliente8321@correo.sv,76069668
CL1085,Lucía Rivera,cliente8579@outlook.com,77147792
CL1087,Paola Reyes,cliente8776@gmail.com,78003634
CL1088,Paola Hernández,cliente8897@empresa.com,75660174
CL1089,Ana Pérez,cliente8999@outlook.com,78671833
CL1090,Daniela Ramírez,cliente9079@correo.sv,79075552
CL1091,Andrés Mejía,cliente914@outlook.com,71675779
CL1092,Daniela Gómez,cliente9221@empresa.com,71929073
CL1093,Fernando Vásquez,cliente9380@outlook.com,75012614
CL1095,Ana Mendoza,cliente9513@outlook.com,78789724
CL1096,Marta Cruz,cliente966@empresa.com,78181018
CL1097,Elena Rivera,cliente9728@gmail.com,74843131
CL1098,Paola Pérez,cliente9823@correo.sv,72726981
CL1099,Jorge Morales,cliente9956@outlook.com,79683806
